direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,fs125,downsample,0.4791482552545483,0.2685273671993075,0.07111631601246723,-0.24685703072792198,0.19741105118684024,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,leads6,leads,0.2888789617660957,0.10791263331693449,0.009741492391620473,-0.24165631590140615,0.09817114092531401,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,leads3,leads,0.28396121013400216,0.08999502063272484,0.01989149505227067,-0.23221119490300082,0.07010352558045417,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,leads2,leads,0.29451842301477493,0.11618903252424827,0.014763031973828217,-0.20144476968465574,0.10142600055042005,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,leads1,leads,0.4640359675953213,0.23499742119362194,0.05435082413749015,-0.2469975605731278,0.18064659705613179,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,noise24,noise,0.37136699821317404,0.16234952556611204,0.015863680326241525,-0.30655386753693775,0.14648584523987052,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,noise12,noise,0.3505539472317392,0.14564998948083377,0.012675450499327385,-0.2948286302780947,0.13297453898150638,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,noise6,noise,0.30068503937008423,0.11656955175235365,0.010811306821489265,-0.24737852215136413,0.10575824493086439,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,noise0,noise,0.2419391886377658,0.09397499577721596,0.008793109295426295,-0.19517242372917165,0.08518188648178968,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,noise-6,noise,0.2923943170792913,0.10945832668688431,0.01735492356695998,-0.17517698730666353,0.09210340311992432,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,gain0.5,gain,0.28189785377749466,0.08554196486435953,0.02462481385257027,-0.23322927236236998,0.06091715101178925,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,gain2.0,gain,0.37057573703816926,0.18710126890722523,0.02742124735346157,-0.267799575555813,0.15968002155376365,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,fs250,downsample,0.28438895694171085,0.1718419332582794,0.05487767825347431,-0.1420356507804671,0.11696425500480509,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,fs125,downsample,0.5163476867893317,0.30905608129624007,0.07338611512520068,-0.28009065922160076,0.23566996617103939,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,leads6,leads,0.2722676599713325,0.1381537027915384,0.03939746416365698,-0.17540600769135417,0.09875623862788144,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,leads3,leads,0.2870591617402634,0.10294080875786488,0.01625164144204721,-0.2310664865238945,0.08668916731581766,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,leads2,leads,0.6151040492472077,0.38053780824465466,0.08718246198817153,-0.32206081353635524,0.29335534625648313,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,leads1,leads,0.4648870766462625,0.22267742012692476,0.04717021146718861,-0.26013474359035993,0.17550720865973615,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,noise24,noise,0.29974001766741154,0.13723763019158575,0.037735736515571924,-0.2092540213290816,0.09950189367601382,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,noise12,noise,0.2865118421921592,0.1263845790658714,0.037053770366868945,-0.19804858390997454,0.08933080869900245,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,noise6,noise,0.2557670011918187,0.10680448711306192,0.03349736659495546,-0.1655652962772352,0.07330712051810646,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,noise0,noise,0.18321051806066604,0.07496910511766723,0.02157275309006399,-0.08485987142041458,0.05339635202760324,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,noise-6,noise,0.26280976126316086,0.09842112914916042,0.01088096281912153,-0.18197585301134225,0.08754016633003889,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,gain0.5,gain,0.23938792859707617,0.07958796324612497,0.025329361190355986,-0.13719112385652096,0.054258602055768976,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,45,gain2.0,gain,0.34693789407956493,0.19497488026637316,0.03628630052384949,-0.24143136039857743,0.15868857974252368,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,46,fs250,downsample,0.2206796474542836,0.07284698237077694,0.016624230795433473,-0.17750233151350786,0.05622275157534347,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,46,fs125,downsample,0.31147295365637784,0.13910804434496626,0.04789343391394493,-0.1719296450605737,0.09121461043102133,1,computed
